,SimSec(s),StartTime(s),EndTime(s),QUEUE_LENGTH,OBJ_DETECT_REQ,MISSED_REQ,CPU_USAGE(%),MEM_USAGE(%),WAITING_IN_QUEUE(s),IMAGE_LOAD(s),OBJECT_DETECT(s)
0,0.0,1723753919.384577,1723753919.4606993,0,0,0,77.0,1.95,0.0,0.0,0.0
1,0.08,1723753919.4607182,1723753919.5331233,0,0,0,77.8,1.95,0.0,0.0,0.0
2,0.15,1723753919.5331392,1723753919.6065533,0,0,0,67.1,1.95,0.0,0.0,0.0
3,0.22,1723753919.60657,1723753919.6785772,0,0,0,67.8,1.95,0.0,0.0,0.0
4,0.29,1723753919.678596,1723753919.7505476,0,0,0,68.4,1.95,0.0,0.0,0.0
5,0.36,1723753919.7505653,1723753919.8227324,0,0,0,68.8,1.95,0.0,0.0,0.0
6,0.43,1723753919.8227522,1723753919.8951423,0,0,0,69.4,1.95,0.0,0.0,0.0
7,0.5,1723753919.8951585,1723753919.9690394,0,0,0,70.1,1.96,0.0,0.0,0.0
8,0.57,1723753919.969057,1723753920.0413904,0,0,0,70.7,1.96,0.0,0.0,0.0
9,0.64,1723753920.0414083,1723753920.114546,0,0,0,71.2,1.96,0.0,0.0,0.0
10,0.71,1723753920.1145654,1723753920.1867452,0,0,0,71.8,1.96,0.0,0.0,0.0
11,0.78,1723753920.1867638,1723753920.2584991,0,0,0,72.4,1.96,0.0,0.0,0.0
12,0.85,1723753920.2585185,1723753920.329988,0,0,0,72.8,1.96,0.0,0.0,0.0
13,0.92,1723753920.3300104,1723753920.4024303,0,0,0,73.5,1.96,0.0,0.0,0.0
14,0.99,1723753920.4024503,1723753920.474482,0,0,0,74.1,1.96,0.0,0.0,0.0
15,1.06,1723753920.474502,1723753920.5465815,0,0,0,74.7,1.96,0.0,0.0,0.0
16,1.13,1723753920.5466022,1723753920.6184435,0,0,0,66.0,1.96,0.0,0.0,0.0
17,1.2,1723753920.6184645,1723753920.6905882,0,0,0,66.3,1.96,0.0,0.0,0.0
18,1.27,1723753920.6906073,1723753920.7643406,0,0,0,66.8,1.96,0.0,0.0,0.0
