,SimSec(s),StartTime(s),EndTime(s),QUEUE_LENGTH,OBJ_DETECT_REQ,MISSED_REQ,CPU_USAGE(%),MEM_USAGE(%),WAITING_IN_QUEUE(s),IMAGE_LOAD(s),OBJECT_DETECT(s)
0,0.0,1723984817.041519,1723984817.126855,0,0,0,67.3,2.02,0.0,0.0,0.0
1,0.09,1723984817.1268814,1723984817.2138915,0,0,0,67.3,2.02,0.0,0.0,0.0
2,0.18,1723984817.2139149,1723984817.3015165,0,0,0,67.3,2.02,0.0,0.0,0.0
3,0.27,1723984817.3015378,1723984817.3880684,0,0,0,67.3,2.02,0.0,0.0,0.0
4,0.36,1723984817.38809,1723984817.474368,0,0,0,67.3,2.02,0.0,0.0,0.0
5,0.45,1723984817.4743922,1723984817.5614505,0,0,0,67.3,2.02,0.0,0.0,0.0
6,0.54,1723984817.5614746,1723984817.6484897,0,0,0,67.3,2.02,0.0,0.0,0.0
7,0.63,1723984817.6485112,1723984817.7362988,0,0,0,67.3,2.02,0.0,0.0,0.0
8,0.72,1723984817.7363188,1723984817.8232262,0,0,0,67.3,2.02,0.0,0.0,0.0
9,0.81,1723984817.8232493,1723984817.9099278,0,0,0,67.3,2.02,0.0,0.0,0.0
10,0.9,1723984817.9099498,1723984817.9959695,0,0,0,67.3,2.02,0.0,0.0,0.0
11,0.99,1723984817.9959931,1723984818.0837111,0,0,0,67.3,2.02,0.0,0.0,0.0
12,1.08,1723984818.0837333,1723984818.169857,0,0,0,67.3,2.02,0.0,0.0,0.0
13,1.17,1723984818.1698816,1723984818.2575824,0,0,0,67.3,2.02,0.0,0.0,0.0
14,1.26,1723984818.2576041,1723984818.3435285,0,0,0,67.3,2.02,0.0,0.0,0.0
15,1.35,1723984818.3435516,1723984818.4302826,0,0,0,67.3,2.02,0.0,0.0,0.0
16,1.44,1723984818.4303052,1723984818.5179524,0,0,0,67.3,2.02,0.0,0.0,0.0
17,1.53,1723984818.5179749,1723984818.604232,0,0,0,67.3,2.02,0.0,0.0,0.0
18,1.62,1723984818.6042562,1723984818.6916597,0,0,0,67.3,2.02,0.0,0.0,0.0
19,1.71,1723984818.6916828,1723984818.7780266,0,0,0,67.3,2.02,0.0,0.0,0.0
20,1.8,1723984818.778048,1723984818.8648725,0,0,0,67.3,2.02,0.0,0.0,0.0
21,1.89,1723984818.8648963,1723984818.9521718,0,0,0,67.3,2.02,0.0,0.0,0.0
22,1.98,1723984818.9522138,1723984819.0444646,0,0,0,67.3,2.02,0.0,0.0,0.0
23,2.07,1723984819.0445077,1723984819.1360776,0,0,0,67.3,2.02,0.0,0.0,0.0
24,2.16,1723984819.1360989,1723984819.2221167,0,0,0,67.3,2.02,0.0,0.0,0.0
25,2.25,1723984819.222138,1723984819.3087015,0,0,0,67.3,2.02,0.0,0.0,0.0
26,2.34,1723984819.3087242,1723984819.3954673,0,0,0,67.3,2.02,0.0,0.0,0.0
27,2.43,1723984819.3954895,1723984819.483432,0,0,0,67.3,2.02,0.0,0.0,0.0
28,2.52,1723984819.4834552,1723984819.5700834,0,0,0,67.3,2.02,0.0,0.0,0.0
29,2.61,1723984819.5701091,1723984819.6576517,0,0,0,67.3,2.02,0.0,0.0,0.0
30,2.7,1723984819.657675,1723984819.745103,0,0,0,67.3,2.02,0.0,0.0,0.0
31,2.79,1723984819.7451262,1723984819.8334446,0,0,0,67.3,2.02,0.0,0.0,0.0
32,2.88,1723984819.8334668,1723984819.920062,0,0,0,67.3,2.02,0.0,0.0,0.0
33,2.97,1723984819.9200857,1723984820.0071251,0,0,0,67.3,2.02,0.0,0.0,0.0
34,3.06,1723984820.0071476,1723984820.0939538,0,0,0,67.3,2.02,0.0,0.0,0.0
35,3.15,1723984820.0939763,1723984820.1814444,0,0,0,67.3,2.02,0.0,0.0,0.0
36,3.24,1723984820.181472,1723984820.2683358,0,0,0,67.3,2.02,0.0,0.0,0.0
37,3.33,1723984820.2683604,1723984820.3558764,0,0,0,67.3,2.02,0.0,0.0,0.0
38,3.42,1723984820.3559008,1723984820.4417863,0,0,0,67.3,2.02,0.0,0.0,0.0
39,3.51,1723984820.4418097,1723984820.52857,0,0,0,67.3,2.02,0.0,0.0,0.0
40,3.6,1723984820.528595,1723984820.616004,0,0,0,67.3,2.02,0.0,0.0,0.0
41,3.69,1723984820.6160274,1723984820.7022474,0,0,0,67.3,2.02,0.0,0.0,0.0
42,3.78,1723984820.7022724,1723984820.788949,0,0,0,67.3,2.02,0.0,0.0,0.0
43,3.87,1723984820.788974,1723984820.875702,0,0,0,67.3,2.02,0.0,0.0,0.0
44,3.96,1723984820.875727,1723984820.9623888,0,0,0,67.3,2.02,0.0,0.0,0.0
45,4.05,1723984820.9624119,1723984821.049726,0,0,0,67.3,2.02,0.0,0.0,0.0
46,4.14,1723984821.0497506,1723984821.13675,0,0,0,67.3,2.02,0.0,0.0,0.0
47,4.23,1723984821.1367776,1723984821.2242835,0,0,0,67.3,2.02,0.0,0.0,0.0
48,4.32,1723984821.2243056,1723984821.3105795,0,0,0,67.3,2.02,0.0,0.0,0.0
49,4.41,1723984821.3106039,1723984821.3974094,0,0,0,67.3,2.02,0.0,0.0,0.0
50,4.5,1723984821.3974335,1723984821.4848597,0,0,0,67.3,2.02,0.0,0.0,0.0
51,4.59,1723984821.4848824,1723984821.5717683,0,0,0,67.3,2.02,0.0,0.0,0.0
52,4.68,1723984821.5717933,1723984821.6585824,0,0,0,67.3,2.02,0.0,0.0,0.0
53,4.77,1723984821.6586063,1723984821.7461228,0,0,0,67.3,2.02,0.0,0.0,0.0
54,4.86,1723984821.7461658,1723984821.8326914,0,0,0,67.3,2.02,0.0,0.0,0.0
55,4.95,1723984821.8327155,1723984821.919813,0,0,0,67.3,2.02,0.0,0.0,0.0
56,5.04,1723984821.919835,1723984822.005994,0,0,0,67.3,2.02,0.0,0.0,0.0
57,5.13,1723984822.0060186,1723984822.0936759,0,0,0,67.3,2.02,0.0,0.0,0.0
58,5.22,1723984822.0936987,1723984822.1806965,0,0,0,67.3,2.02,0.0,0.0,0.0
59,5.31,1723984822.1807232,1723984822.2673738,0,0,0,67.3,2.02,0.0,0.0,0.0
60,5.4,1723984822.2673972,1723984822.3545275,0,0,0,67.3,2.02,0.0,0.0,0.0
61,5.49,1723984822.3545504,1723984822.441547,0,0,0,67.3,2.02,0.0,0.0,0.0
62,5.58,1723984822.4415696,1723984822.5292454,0,0,0,67.3,2.02,0.0,0.0,0.0
